"post_code","grad"
"11408","Velika Krsna"
"38433","Velika Kruša"
"37209","Velika Lomnica"
"18305","Velika Lukanja"
"11206","Velika Moštanica"
"11320","Velika Plana"
"18403","Velika Plana (Toplička)"
"85361","Velika Plaža"
"15322","Velika Reka"
"38311","Velika Slatina"
"37233","Velika Vrbnica"
"23217","Velike Livade"
"11462","Veliki Borak"
"11563","Veliki Crljeni"
"26365","Veliki Gaj"
"19206","Veliki lzvor"
"85358","Veliki Pijesak"
"35223","Veliki Popović"
"22211","Veliki Radinci"
"37204","Veliki Šiljegovac"
"18217","Veliko Bonjince"
"12220","Veliko Gradište"
"12306","Veliko Laole"
"11323","Veliko Orašje"
"12314","Veliko Selo"
"26334","Veliko Središte"
"81428","Velimlje"
"34306","Venčane"
"21203","Veternik"
"32233","Viča"
"81431","Vidrovdan"
"21246","Vilovo"
"81423","Vilusi"
"19368","Vina"
"16207","Vinarce"
"32254","Vionica"
"81305","Virpazar"
"18306","Visočka Ržana"
"24222","Višnjevac"
"22246","Višnjićevo"
"36206","Vitanovac"
"38257","Vitina (Kosovska)"
"36207","Vitkavac"
"22431","Vitojevci"
"38331","Vitomirica"
"37213","Vitoševac"
"17510","Vladičin Han"
"85366","Vladimir"
"15225","Vladimirci"
"26315","Vladimirovac"
"26332","Vlajkovac"
"17507","Vlase"
"17532","Vlasina Okruglica"
"17533","Vlasina Rid"
"17534","Vlasina Stojkovićeva"
"16210","Vlasotince"
"11406","Vlaška"
"12371","Vlaški Do"
"11328","Vodanj"
"22429","Voganj"
"22313","Vojka"
"35208","Vojska"
"23219","Vojvoda Stepa"
"12256","Voluja"
"91426","Vraćenovići"
"32315","Vraćevšnica"
"26348","Vračev Gaj"
"11427","Vranić"
"11329","Vranovo"
"17500","Vranje"
"17542","Vranjska Banja"
"19344","Vratamica"
"19312","Vražogrnac"
"36214","Vrba"
"21460","Vrbas"
"23329","Vrbica"
"11224","Vrčin"
"22408","Vrdnik"
"11560","Vreoci"
"36210","Vrnjačka Banja"
"36217","Vrnjci"
"26300","Vršac"
"84214","Vrulja"
"38214","Vučitrn"
"16203","Vučje"
"32223","Zablaće"
"34244","Zabojnica"
"11505","Zabrežje"
"26344","Zagaljica"
"38318","Zahać"
"15315","Zajača"
"19000","Zaječar"
"22201","Zasavica"
"84303","Zaton (kod Bijelog Polja)"
"15312","Zavlaka"
"37203","Zdravinje"
"85346","Zelenika"
"11080","Zemun"
"38432","Zjum"
"31315","Zlatibor"
"31253","Zlodol"
"19215","Zlot"
"21213","Zmajevo"
"23000","Zrenjanin"
"38435","Zrze"
"38228","Zubin Potok"
"11225","Zuce"
"19227","Zvezdan"
"38227","Zvečan"
"18333","Zvonce"
"21230","Žabalj"
"12374","Žabari"
"84220","Žabljak"
"12320","Žagubica"
"38254","Žegra"
"11250","Železnik"
"23210","Žitište"
"18210","Žitkovac"
"18407","Žitni Potok"
"18412","Žitorađa"
"18348","Žuć"
"38241","Žur"
"23224","Lukino Selo"
"11090","Beograd ()"
